"Table S3. Molecular formulas, point group symmetry, and common organic functional groups for the molecules in the GDB9-W1-F12 database. ",,,,Carbonyls,Hydroxyl,Ester (cyclic or acyclic),Nitrogens w/o hydrogens,,,Carbons w/o hydrogens,,,,,
dsgdb9nsd_000617,C6H12,6,C1,0,0,0,0,0,0,0,2,2,2,0,
dsgdb9nsd_000618,C5H10O,6,C1,0,1,0,0,0,0,0,2,2,1,0,
dsgdb9nsd_000619,C5H11N,6,C1,0,0,0,1,0,0,0,1,2,2,0,
dsgdb9nsd_000620,C5H10O,6,C1,0,0,1,0,0,0,0,2,1,2,0,
dsgdb9nsd_000621,C5H11N,6,C1,0,0,0,1,0,0,0,1,2,2,0,
dsgdb9nsd_000622,C4H9NO,6,C1,0,1,0,1,0,0,0,1,2,1,0,
dsgdb9nsd_000623,C5H10O,6,C1,0,0,1,0,0,0,0,2,1,2,0,
dsgdb9nsd_000624,C4H8O2,6,C1,0,1,1,0,0,0,0,2,1,1,0,
dsgdb9nsd_000625,C4H8O2,6,C1,0,2,0,0,0,0,0,2,2,0,0,
dsgdb9nsd_000626,C5H8O,6,C1,1,0,0,0,0,0,1,1,2,1,0,
dsgdb9nsd_000627,C4H7NO,6,C1,1,0,0,0,1,0,1,1,1,1,0,
dsgdb9nsd_000628,C4H6O2,6,C1,1,0,1,0,0,0,1,1,1,1,0,
dsgdb9nsd_000629,C4H7NO,6,C1,1,0,0,1,0,0,1,0,2,1,0,
dsgdb9nsd_000630,C4H7NO,6,C1,1,0,0,0,0,1,1,1,2,0,0,
dsgdb9nsd_000631,C3H6N2O,6,C1,1,0,0,0,1,1,1,1,1,0,0,
dsgdb9nsd_000632,C3H5NO2,6,C1,1,0,1,0,0,1,1,1,1,0,0,
dsgdb9nsd_000633,C3H6N2O,6,C1,1,0,0,1,0,1,1,0,2,0,0,
dsgdb9nsd_000634,C6H12,6,CS,0,0,0,0,0,0,0,2,2,2,0,
dsgdb9nsd_000635,C5H10O,6,C1,0,0,1,0,0,0,0,2,1,2,0,
dsgdb9nsd_000636,C5H11N,6,CS,0,0,0,1,0,0,0,1,2,2,0,
dsgdb9nsd_000637,C5H10O,6,C1,0,1,0,0,0,0,0,2,2,1,0,
dsgdb9nsd_000638,C4H9NO,6,C1,0,1,0,0,1,0,0,2,1,1,0,
dsgdb9nsd_000639,C4H8O2,6,C1,0,1,1,0,0,0,0,2,1,1,0,
dsgdb9nsd_000640,C6H10,6,CS,0,0,0,0,0,0,1,0,5,0,0,
dsgdb9nsd_000641,C5H8O,6,CS,0,0,1,0,0,0,1,0,4,0,0,
dsgdb9nsd_000642,C5H8O,6,C2V,0,0,1,0,0,0,1,0,4,0,0,
dsgdb9nsd_000643,C4H7NO,6,C1,0,0,1,0,1,0,1,0,3,0,0,
dsgdb9nsd_000644,C5H8O,6,CS,0,0,1,0,0,0,1,0,4,0,0,
dsgdb9nsd_000645,C4H6O2,6,CS,0,0,2,0,0,0,1,0,3,0,0,
dsgdb9nsd_000646,C6H8,6,C2,0,0,0,0,0,0,0,4,2,0,0,
dsgdb9nsd_000647,C5H6O,6,C1,0,0,1,0,0,0,0,4,1,0,0,
dsgdb9nsd_000648,C6H10,6,C2V,0,0,0,0,0,0,0,2,4,0,0,
dsgdb9nsd_000649,C5H8O,6,CS,0,0,1,0,0,0,0,2,3,0,0,
dsgdb9nsd_000650,C5H8O,6,CS,0,0,1,0,0,0,0,2,3,0,0,
dsgdb9nsd_000651,C6H10,6,C1,0,0,0,0,0,0,0,3,2,1,0,
dsgdb9nsd_000652,C5H8O,6,C1,0,0,1,0,0,0,0,3,1,1,0,
dsgdb9nsd_000653,C5H8O,6,C1,0,1,0,0,0,0,0,3,2,0,0,
dsgdb9nsd_000655,C5H8O,6,C1,0,0,1,0,0,0,0,2,3,0,0,
dsgdb9nsd_000656,C6H10,6,C1,0,0,0,0,0,0,0,2,4,0,0,
dsgdb9nsd_000657,C4H7NO,6,C1,0,0,1,1,0,0,0,1,3,0,0,
dsgdb9nsd_000658,C6H12,6,D3D,0,0,0,0,0,0,0,0,6,0,0,
dsgdb9nsd_000659,C5H10O,6,C1,0,0,1,0,0,0,0,0,5,0,0,
dsgdb9nsd_000660,C4H8O2,6,C2H,0,0,2,0,0,0,0,0,4,0,0,
dsgdb9nsd_000661,C4H8O2,6,CS,0,0,2,0,0,0,0,0,4,0,0,
dsgdb9nsd_000662,C6H10,6,C2,0,0,0,0,0,0,0,2,4,0,0,
dsgdb9nsd_000663,C5H8O,6,C1,0,0,1,0,0,0,0,2,3,0,0,
dsgdb9nsd_000664,C4H6O2,6,C2,0,0,2,0,0,0,0,2,2,0,0,
dsgdb9nsd_000665,C6H10,6,C1,0,0,0,0,0,0,0,3,2,1,0,
dsgdb9nsd_000666,C5H8O,6,C1,0,0,1,0,0,0,0,3,1,1,0,
dsgdb9nsd_000667,C5H8O,6,C1,0,1,0,0,0,0,0,3,2,0,0,
dsgdb9nsd_000668,C4H6O2,6,C1,0,1,1,0,0,0,0,3,1,0,0,
dsgdb9nsd_000669,C6H8,6,C1,0,0,0,0,0,0,0,4,2,0,0,
dsgdb9nsd_000670,C4H5NO,6,C1,0,0,1,1,0,0,0,3,1,0,0,
dsgdb9nsd_000671,C5H7N,6,C1,0,0,0,0,1,0,0,4,1,0,0,
dsgdb9nsd_000672,C5H6O,6,C1,0,0,1,0,0,0,0,4,1,0,0,
dsgdb9nsd_000673,C6H10,6,CS,0,0,0,0,0,0,0,2,4,0,0,
dsgdb9nsd_000674,C5H8O,6,C1,0,0,1,0,0,0,0,2,3,0,0,
dsgdb9nsd_000675,C5H8O,6,CS,0,0,1,0,0,0,0,2,3,0,0,
dsgdb9nsd_000676,C4H6O2,6,CS,0,0,2,0,0,0,0,2,2,0,0,
dsgdb9nsd_000677,C5H8O,6,CS,0,0,1,0,0,0,0,2,3,0,0,
dsgdb9nsd_000678,C4H7NO,6,CS,0,0,1,0,1,0,0,2,2,0,0,
dsgdb9nsd_000679,C4H6O2,6,CS,0,0,2,0,0,0,0,2,2,0,0,
dsgdb9nsd_000680,C4H5NO,6,C1,0,0,1,0,1,0,1,2,1,0,0,
dsgdb9nsd_000681,C5H6O,6,C1,1,0,0,0,0,0,1,2,2,0,0,
dsgdb9nsd_000682,C4H5NO,6,C1,1,0,0,1,0,0,1,1,2,0,0,
dsgdb9nsd_000683,C4H5NO,6,C1,1,0,0,0,1,0,1,2,1,0,0,
dsgdb9nsd_000684,C4H4O2,6,C1,1,0,1,0,0,0,1,2,1,0,0,
dsgdb9nsd_000685,C4H5NO,6,C1,1,0,0,1,0,0,1,1,2,0,0,
dsgdb9nsd_000686,C4H5NO,6,C1,1,0,0,0,1,0,1,2,1,0,0,
dsgdb9nsd_000687,C4H4O2,6,C1,1,0,1,0,0,0,1,2,1,0,0,
dsgdb9nsd_000688,C6H10,6,C1,0,0,0,0,0,0,0,3,2,1,0,
dsgdb9nsd_000689,C5H8O,6,C1,0,0,1,0,0,0,0,3,1,1,0,
dsgdb9nsd_000690,C5H8O,6,C1,0,0,1,0,0,0,0,3,1,1,0,
dsgdb9nsd_000691,C5H8O,6,C1,0,1,0,0,0,0,0,3,2,0,0,
dsgdb9nsd_000692,C4H7NO,6,C1,0,1,0,0,1,0,0,3,1,0,0,
dsgdb9nsd_000693,C4H6O2,6,C1,0,1,1,0,0,0,0,3,1,0,0,
dsgdb9nsd_000695,C6H8,6,D2D,0,0,0,0,0,0,0,4,2,0,0,
dsgdb9nsd_000696,C5H7N,6,CS,0,0,0,1,0,0,0,3,2,0,0,
dsgdb9nsd_000697,C5H6O,6,C2V,0,0,1,0,0,0,0,4,1,0,0,
dsgdb9nsd_000698,C4H6N2,6,C2,0,0,0,0,2,0,0,4,0,0,0,
dsgdb9nsd_000699,C4H5NO,6,CS,0,0,1,0,1,0,0,4,0,0,0,
dsgdb9nsd_000700,C4H4O2,6,D2D,0,0,2,0,0,0,0,4,0,0,0,
dsgdb9nsd_000701,C6H10,6,C2,0,0,0,0,0,0,0,2,4,0,0,
dsgdb9nsd_000702,C5H8O,6,C1,0,0,1,0,0,0,0,2,3,0,0,
dsgdb9nsd_000703,C5H9N,6,C1,0,0,0,1,0,0,0,1,4,0,0,
dsgdb9nsd_000704,C4H8N2,6,C1,0,0,0,0,2,0,0,2,2,0,0,
dsgdb9nsd_000705,C4H7NO,6,C1,0,0,1,0,1,0,0,2,2,0,0,
dsgdb9nsd_000706,C4H6O2,6,C2,0,0,2,0,0,0,0,2,2,0,0,
dsgdb9nsd_000707,C6H8,6,C2V,0,0,0,0,0,0,0,4,2,0,0,
dsgdb9nsd_000708,C5H7N,6,C1,0,0,0,0,1,0,0,4,1,0,0,
dsgdb9nsd_000709,C5H6O,6,C1,0,0,1,0,0,0,0,4,1,0,0,
dsgdb9nsd_000710,C5H7N,6,C1,0,0,0,1,0,0,0,3,2,0,0,
dsgdb9nsd_000711,C4H6N2,6,C2V,0,0,0,0,2,0,0,4,0,0,0,
dsgdb9nsd_000713,C4H4O2,6,C2V,0,0,2,0,0,0,0,4,0,0,0,
dsgdb9nsd_000714,C5H7N,6,C1,0,0,0,1,0,0,0,3,2,0,0,
dsgdb9nsd_000715,C6H8,6,CS,0,0,0,0,0,0,0,4,2,0,0,
dsgdb9nsd_000716,C5H7N,6,CS,0,0,0,1,0,0,0,3,2,0,0,
dsgdb9nsd_000717,C5H7N,6,C1,0,0,0,1,0,0,0,3,2,0,0,
dsgdb9nsd_000718,C5H6O,6,C1,0,0,1,0,0,0,0,4,1,0,0,
dsgdb9nsd_000719,C6H6,6,D3,0,0,0,0,0,0,0,6,0,0,0,
dsgdb9nsd_000720,C5H5N,6,CS,0,0,0,1,0,0,0,5,0,0,0,
dsgdb9nsd_000721,C4H4N2,6,C2V,0,0,0,2,0,0,0,4,0,0,0,
dsgdb9nsd_000722,C3H3N3,6,CS,0,0,0,3,0,0,0,3,0,0,0,
dsgdb9nsd_000723,C2H2N4,6,C2V,0,0,0,4,0,0,0,2,0,0,0,
dsgdb9nsd_000724,C2H2N4,6,C2V,0,0,0,4,0,0,0,2,0,0,0,
dsgdb9nsd_000725,C2H2N4,6,C2V,0,0,0,4,0,0,0,2,0,0,0,
dsgdb9nsd_000726,C4H6N2,6,C1,0,0,0,1,1,0,1,2,0,1,0,
dsgdb9nsd_000727,C4H5NO,6,C1,0,0,0,1,0,0,1,2,0,1,0,
dsgdb9nsd_000728,C3H5N3,6,C1,0,0,0,2,1,0,1,1,0,1,0,
dsgdb9nsd_000729,C3H4N2O,6,C1,0,0,0,2,0,0,1,1,0,1,0,
dsgdb9nsd_000730,C4H6N2,6,C1,0,0,0,1,1,0,1,2,0,1,0,
dsgdb9nsd_000731,C3H5N3,6,C1,0,0,0,2,1,0,1,1,0,1,0,
dsgdb9nsd_000732,C4H5NO,6,C1,0,0,0,1,0,0,1,2,0,1,0,
dsgdb9nsd_000733,C3H4N2O,6,C1,0,0,0,2,0,0,1,1,0,1,0,
dsgdb9nsd_000734,C3H5N3,6,C1,0,0,0,2,1,0,1,1,0,1,0,
dsgdb9nsd_000735,C3H4N2O,6,C1,0,0,0,2,0,0,1,1,0,1,0,
dsgdb9nsd_000736,C4H6N2,6,C1,0,0,0,1,1,0,1,2,0,1,0,
dsgdb9nsd_000737,C3H5N3,6,CS,0,0,0,2,1,0,1,1,0,1,0,
dsgdb9nsd_000738,C3H5N3,6,C1,0,0,0,2,1,0,1,1,0,1,0,
dsgdb9nsd_000739,C2H4N4,6,C1,0,0,0,3,1,0,1,0,0,1,0,
dsgdb9nsd_000740,C4H5NO,6,C1,0,0,0,1,0,0,1,2,0,1,0,
dsgdb9nsd_000741,C3H4N2O,6,C1,0,0,0,2,0,0,1,1,0,1,0,
dsgdb9nsd_000742,C3H4N2O,6,C1,0,0,0,2,0,0,1,1,0,1,0,
dsgdb9nsd_000743,C2H3N3O,6,C1,0,0,0,3,0,0,1,0,0,1,0,
dsgdb9nsd_000744,C4H6N2,6,C1,0,0,0,2,0,0,0,3,0,1,0,
dsgdb9nsd_000745,C3H5N3,6,C1,0,0,0,3,0,0,0,2,0,1,0,
dsgdb9nsd_000746,C3H5N3,6,C1,0,0,0,3,0,0,0,2,0,1,0,
dsgdb9nsd_000747,C3H5N3,6,C1,0,0,0,3,0,0,0,2,0,1,0,
dsgdb9nsd_000748,C2H4N4,6,C1,0,0,0,4,0,0,0,1,0,1,0,
dsgdb9nsd_000749,C3H5N3,6,C1,0,0,0,3,0,0,0,2,0,1,0,
dsgdb9nsd_000750,C2H4N4,6,C1,0,0,0,4,0,0,0,1,0,1,0,
dsgdb9nsd_000751,CH3N5,6,C1,0,0,0,5,0,0,0,0,0,1,0,
dsgdb9nsd_000752,C2H3N3O,6,C1,0,0,0,1,2,0,1,1,0,0,0,
dsgdb9nsd_000753,CH3N5,6,C1,0,0,0,2,3,0,1,0,0,0,0,
dsgdb9nsd_000754,C2H2N2O2,6,C1,0,0,1,1,1,0,1,1,0,0,0,
dsgdb9nsd_000755,CHN3O2,6,C1,0,0,0,2,1,0,1,0,0,0,0,
dsgdb9nsd_000756,C3H5N3,6,C1,0,0,0,1,1,1,1,2,0,0,0,
dsgdb9nsd_000757,C3H4N2O,6,C1,0,0,0,1,0,1,1,2,0,0,0,
dsgdb9nsd_000758,C2H4N4,6,C1,0,0,0,2,1,1,1,1,0,0,0,
dsgdb9nsd_000760,C3H5N3,6,C1,0,0,0,1,1,1,1,2,0,0,0,
dsgdb9nsd_000761,C2H4N4,6,C1,0,0,0,2,1,1,1,1,0,0,0,
dsgdb9nsd_000762,C3H4N2O,6,C1,0,0,0,1,0,1,1,2,0,0,0,
dsgdb9nsd_000763,C2H3N3O,6,C1,0,0,0,2,0,1,1,1,0,0,0,
dsgdb9nsd_000764,C2H4N4,6,C1,0,0,0,2,1,1,1,1,0,0,0,
dsgdb9nsd_000765,C2H3N3O,6,C1,0,0,0,2,0,1,1,1,0,0,0,
dsgdb9nsd_000767,C2H4N4,6,C1,0,0,0,2,1,1,1,1,0,0,0,
dsgdb9nsd_000768,C2H4N4,6,C1,0,0,0,2,1,1,1,1,0,0,0,
dsgdb9nsd_000769,CH3N5,6,C1,0,0,0,3,1,1,1,0,0,0,0,
dsgdb9nsd_000770,C3H4N2O,6,C1,0,0,0,1,0,1,1,2,0,0,0,
dsgdb9nsd_000771,C2H3N3O,6,C1,0,0,0,2,0,1,1,1,0,0,0,
dsgdb9nsd_000772,C2H3N3O,6,C1,0,0,0,2,0,1,1,1,0,0,0,
dsgdb9nsd_000773,CH2N4O,6,C1,0,0,0,3,0,1,1,0,0,0,0,
dsgdb9nsd_000774,C2H3N3O,6,C1,1,0,0,1,2,0,1,1,0,0,0,
dsgdb9nsd_000775,C2H2N2O2,6,CS,1,0,0,1,1,0,1,1,0,0,0,
dsgdb9nsd_000776,CH2N4O,6,CS,1,0,0,2,2,0,1,0,0,0,0,
dsgdb9nsd_000777,CHN3O2,6,C1,1,0,0,2,1,0,1,0,0,0,0,
dsgdb9nsd_000778,C2HNO3,6,CS,1,0,1,1,0,0,1,1,0,0,0,
dsgdb9nsd_000780,C3H4N2O,6,C1,0,1,0,1,1,0,1,2,0,0,0,
dsgdb9nsd_000781,C3H4N2O,6,C1,0,1,0,1,1,0,1,2,0,0,0,
dsgdb9nsd_000782,C2H3N3O,6,C1,0,1,0,2,1,0,1,1,0,0,0,
dsgdb9nsd_000783,C2H3N3O,6,C1,0,1,0,2,1,0,1,1,0,0,0,
dsgdb9nsd_000784,C3H4N2O,6,C1,0,1,0,1,1,0,1,2,0,0,0,
dsgdb9nsd_000785,C2H3N3O,6,C1,0,1,0,2,1,0,1,1,0,0,0,
dsgdb9nsd_000786,C2H3N3O,6,C1,0,1,0,2,1,0,1,1,0,0,0,
dsgdb9nsd_000788,C3H3NO2,6,C1,0,1,0,1,0,0,1,2,0,0,0,
dsgdb9nsd_000789,C2H2N2O2,6,C1,0,1,0,2,0,0,1,1,0,0,0,
dsgdb9nsd_000791,C5H7NO,7,C1,0,0,0,1,0,0,3,0,0,2,0,
dsgdb9nsd_000792,C5H7NO,7,C1,0,0,0,1,0,0,2,1,1,1,0,
dsgdb9nsd_000793,C4H6N2O,7,C1,0,0,0,2,0,0,2,0,1,1,0,
dsgdb9nsd_000794,C4H7NO2,7,C1,1,0,0,1,0,0,1,1,1,1,0,
dsgdb9nsd_000799,C3H6N2O2,7,C1,1,0,0,1,0,1,2,0,0,1,0,
dsgdb9nsd_000802,C5H9NO,7,C1,0,0,0,1,0,0,1,1,2,1,0,
dsgdb9nsd_000803,C4H8N2O,7,C1,0,0,0,2,0,0,1,0,2,1,0,
dsgdb9nsd_000804,C4H7NO2,7,C1,0,1,0,1,0,0,1,1,2,0,0,
dsgdb9nsd_000805,C5H3NO,7,CS,0,0,0,1,0,0,3,2,0,0,0,
dsgdb9nsd_000806,C5H7NO,7,C1,0,0,0,1,0,0,2,1,1,1,0,
dsgdb9nsd_000807,C4H5NO2,7,C1,0,1,0,1,0,0,2,1,1,0,0,
dsgdb9nsd_000810,C5H9NO,7,C1,0,0,0,1,0,0,1,1,2,1,0,
dsgdb9nsd_000811,C4H8N2O,7,C1,0,0,0,1,1,0,1,1,1,1,0,
dsgdb9nsd_000812,C4H7NO2,7,C1,0,0,1,1,0,0,1,1,1,1,0,
dsgdb9nsd_000813,C4H7NO2,7,C1,0,1,0,1,0,0,1,1,2,0,0,
dsgdb9nsd_000814,C5H7NO,7,C1,0,0,0,1,0,0,1,2,2,0,0,
dsgdb9nsd_000815,C5H7NO,7,C1,0,0,0,1,0,0,1,2,2,0,0,
dsgdb9nsd_000816,C4H6N2O,7,C1,0,0,0,1,1,0,1,2,1,0,0,
dsgdb9nsd_000817,C5H9NO,7,C1,0,0,0,1,0,0,1,0,4,0,0,
dsgdb9nsd_000818,C4H7NO2,7,C1,0,0,1,1,0,0,1,0,3,0,0,
dsgdb9nsd_000819,C5H9NO,7,C1,0,0,0,1,0,0,1,1,2,1,0,
dsgdb9nsd_000820,C4H8N2O,7,C1,0,0,0,1,1,0,1,1,1,1,0,
dsgdb9nsd_000821,C4H7NO2,7,C1,0,0,1,1,0,0,1,1,1,1,0,
dsgdb9nsd_000822,C5H7NO,7,C1,0,0,0,1,0,0,1,2,2,0,0,
dsgdb9nsd_000823,C4H6N2O,7,C1,0,0,0,1,1,0,1,2,1,0,0,
dsgdb9nsd_000824,C4H5NO2,7,C1,0,0,1,1,0,0,1,2,1,0,0,
dsgdb9nsd_000826,C3HF3,6,C3V,0,0,0,0,0,0,2,1,0,0,1,
dsgdb9nsd_000827,C2F3N,6,C3V,0,0,0,1,0,0,2,0,0,0,1,
dsgdb9nsd_000828,C2HF3O,6,C1,1,0,0,0,0,0,1,1,0,0,1,
dsgdb9nsd_000829,C2H4F3N,6,C1,0,0,0,0,0,1,1,0,1,0,1,
dsgdb9nsd_000830,C2H3F3O,6,C1,0,1,0,0,0,0,1,0,1,0,1,
dsgdb9nsd_000831,C3H5F3,6,CS,0,0,0,0,0,0,1,0,1,1,1,
dsgdb9nsd_000832,C6H9N,7,C1,0,0,0,0,1,0,2,2,0,2,0,
dsgdb9nsd_000833,C6H8O,7,C1,0,0,1,0,0,0,2,2,0,2,0,
dsgdb9nsd_000834,C5H8N2,7,C1,0,0,0,0,1,1,2,2,0,1,0,
dsgdb9nsd_000835,C5H7NO,7,C1,0,0,1,0,0,1,2,2,0,1,0,
dsgdb9nsd_000836,C5H7NO,7,C1,0,1,0,0,1,0,2,2,0,1,0,
dsgdb9nsd_000837,C5H6O2,7,C1,0,1,1,0,0,0,2,2,0,1,0,
dsgdb9nsd_000838,C5H8N2,7,C1,0,0,0,0,1,1,2,2,0,1,0,
dsgdb9nsd_000839,C5H7NO,7,C1,0,1,0,0,1,0,2,2,0,1,0,
dsgdb9nsd_000840,C4H6N2O,7,C1,0,1,0,1,1,0,2,1,0,1,0,
dsgdb9nsd_000841,C5H7NO,7,C1,0,0,1,0,0,1,2,2,0,1,0,
dsgdb9nsd_000842,C4H6N2O,7,C1,0,0,1,1,0,1,2,1,0,1,0,
dsgdb9nsd_000843,C4H5NO2,7,C1,0,1,1,1,0,0,2,1,0,1,0,
dsgdb9nsd_000844,C5H8N2,7,C1,0,0,0,1,1,0,2,1,0,2,0,
dsgdb9nsd_000845,C5H7NO,7,C1,0,0,1,1,0,0,2,1,0,2,0,
dsgdb9nsd_000846,C4H6N2O,7,C1,0,0,1,1,0,1,2,1,0,1,0,
dsgdb9nsd_000847,C4H6N2O,7,C1,0,1,0,1,1,0,2,1,0,1,0,
dsgdb9nsd_000848,C4H5NO2,7,C1,0,1,1,1,0,0,2,1,0,1,0,
dsgdb9nsd_000849,C4H7N3,7,C1,0,0,0,0,1,2,2,2,0,0,0,
dsgdb9nsd_000850,C4H6N2O,7,C1,0,0,1,0,0,2,2,2,0,0,0,
dsgdb9nsd_000851,C4H6N2O,7,C1,0,1,0,0,1,1,2,2,0,0,0,
dsgdb9nsd_000852,C4H5NO2,7,C1,0,1,1,0,0,1,2,2,0,0,0,
dsgdb9nsd_000853,C4H6N2O,7,C1,0,1,0,0,1,1,2,2,0,0,0,
dsgdb9nsd_000854,C3H5N3O,7,C1,0,1,0,1,1,1,2,1,0,0,0,
dsgdb9nsd_000856,C3H5N3O,7,C1,0,0,1,1,0,2,2,1,0,0,0,
dsgdb9nsd_000857,C3H5N3O,7,C1,0,1,0,1,1,1,2,1,0,0,0,
dsgdb9nsd_000858,C3H4N2O2,7,C1,0,1,1,1,0,1,2,1,0,0,0,
dsgdb9nsd_000859,C4H5NO2,7,C1,0,2,0,0,1,0,2,2,0,0,0,
dsgdb9nsd_000860,C3H4N2O2,7,C1,0,2,0,1,1,0,2,1,0,0,0,
dsgdb9nsd_000861,C6H9N,7,CS,0,0,0,0,1,0,2,2,0,2,0,
dsgdb9nsd_000862,C6H8O,7,C2V,0,0,1,0,0,0,2,2,0,2,0,
dsgdb9nsd_000863,C5H8N2,7,C1,0,0,0,0,1,1,2,2,0,1,0,
dsgdb9nsd_000864,C5H7NO,7,C1,0,0,1,0,0,1,2,2,0,1,0,
dsgdb9nsd_000865,C5H7NO,7,C1,0,1,0,0,1,0,2,2,0,1,0,
dsgdb9nsd_000866,C5H7NO,7,C1,0,0,1,1,0,0,2,1,0,2,0,
dsgdb9nsd_000867,C4H6N2O,7,C1,0,0,1,1,0,1,2,1,0,1,0,
dsgdb9nsd_000868,C4H6N2O,7,C1,0,1,0,1,1,0,2,1,0,1,0,
dsgdb9nsd_000869,C4H5NO2,7,C1,0,1,1,1,0,0,2,1,0,1,0,
dsgdb9nsd_000870,C4H6N2O,7,C1,0,0,1,1,0,1,2,1,0,1,0,
dsgdb9nsd_000871,C4H6N2O,7,C1,0,1,0,1,1,0,2,1,0,1,0,
dsgdb9nsd_000872,C4H7N3,7,C1,0,0,0,0,1,2,2,2,0,0,0,
dsgdb9nsd_000873,C4H6N2O,7,C1,0,0,1,0,0,2,2,2,0,0,0,
dsgdb9nsd_000875,C4H5NO2,7,C1,0,1,1,0,0,1,2,2,0,0,0,
dsgdb9nsd_000876,C3H5N3O,7,C1,0,0,1,1,0,2,2,1,0,0,0,
dsgdb9nsd_000877,C3H5N3O,7,C1,0,1,0,1,1,1,2,1,0,0,0,
dsgdb9nsd_000878,C3H4N2O2,7,C1,0,1,1,1,0,1,2,1,0,0,0,
dsgdb9nsd_000879,C4H5NO2,7,C1,0,2,0,0,1,0,2,2,0,0,0,
dsgdb9nsd_000880,C3H4N2O2,7,C1,0,2,0,1,1,0,2,1,0,0,0,
dsgdb9nsd_000881,C4H6N2O,7,C1,0,0,1,0,2,0,2,1,0,1,0,
dsgdb9nsd_000882,C4H6N2O,7,C1,1,0,0,0,2,0,2,1,0,1,0,
dsgdb9nsd_000883,C4H5NO2,7,C1,1,0,1,0,1,0,2,1,0,1,0,
dsgdb9nsd_000884,C4H6N2O,7,C1,0,0,1,0,2,0,2,1,0,1,0,
dsgdb9nsd_000885,C4H5NO2,7,C1,0,0,2,0,1,0,2,1,0,1,0,
dsgdb9nsd_000886,C4H5NO2,7,C1,1,0,1,0,1,0,2,1,0,1,0,
dsgdb9nsd_000887,C4H4O3,7,C1,1,0,2,0,0,0,2,1,0,1,0,
dsgdb9nsd_000888,C3H5N3O,7,C1,0,0,1,0,2,1,2,1,0,0,0,
dsgdb9nsd_000889,C3H5N3O,7,C1,1,0,0,0,2,1,2,1,0,0,0,
dsgdb9nsd_000890,C3H4N2O2,7,C1,1,0,1,0,1,1,2,1,0,0,0,
dsgdb9nsd_000891,C3H4N2O2,7,C1,0,0,2,0,1,1,2,1,0,0,0,
dsgdb9nsd_000892,C3H4N2O2,7,C1,1,0,1,0,1,1,2,1,0,0,0,
dsgdb9nsd_000893,C3H3NO3,7,C1,1,0,2,0,0,1,2,1,0,0,0,
dsgdb9nsd_000894,C3H4N2O2,7,C1,0,1,1,0,2,0,2,1,0,0,0,
dsgdb9nsd_000895,C3H4N2O2,7,C1,1,1,0,0,2,0,2,1,0,0,0,
dsgdb9nsd_000896,C3H3NO3,7,C1,1,1,1,0,1,0,2,1,0,0,0,
dsgdb9nsd_000897,C3H4N2O2,7,C1,0,1,1,0,2,0,2,1,0,0,0,
dsgdb9nsd_000898,C3H3NO3,7,C1,0,1,2,0,1,0,2,1,0,0,0,
dsgdb9nsd_000899,C3H2O4,7,C1,1,1,2,0,0,0,2,1,0,0,0,
dsgdb9nsd_000900,C6H9N,7,C1,0,0,0,1,0,0,1,3,0,2,0,
dsgdb9nsd_000901,C5H8N2,7,C1,0,0,0,1,0,1,1,3,0,1,0,
dsgdb9nsd_000902,C5H7NO,7,C1,0,1,0,1,0,0,1,3,0,1,0,
dsgdb9nsd_000903,C5H8N2,7,C1,0,0,0,2,0,0,1,2,0,2,0,
dsgdb9nsd_000904,C4H7N3,7,C1,0,0,0,2,0,1,1,2,0,1,0,
dsgdb9nsd_000905,C4H6N2O,7,C1,0,1,0,2,0,0,1,2,0,1,0,
dsgdb9nsd_000906,C4H4N2O,7,CS,0,0,1,1,1,0,1,3,0,0,0,
dsgdb9nsd_000908,C3H3N3O,7,CS,0,0,1,2,1,0,1,2,0,0,0,
dsgdb9nsd_000909,C5H5NO,7,CS,1,0,0,0,1,0,1,4,0,0,0,
dsgdb9nsd_000910,C4H4N2O,7,C1,1,0,0,1,1,0,1,3,0,0,0,
dsgdb9nsd_000911,C5H4O2,7,CS,1,0,1,0,0,0,1,4,0,0,0,
dsgdb9nsd_000912,C4H3NO2,7,C1,1,0,1,1,0,0,1,3,0,0,0,
dsgdb9nsd_000913,C3H2N2O2,7,CS,1,0,1,2,0,0,1,2,0,0,0,
dsgdb9nsd_000914,C3H4N4,7,C1,0,0,0,2,2,0,1,2,0,0,0,
dsgdb9nsd_000915,C5H5NO,7,CS,0,0,1,0,1,0,1,4,0,0,0,
dsgdb9nsd_000916,C4H4N2O,7,C1,0,0,1,1,1,0,1,3,0,0,0,
dsgdb9nsd_000917,C4H4N2O,7,C1,0,0,1,1,1,0,1,3,0,0,0,
dsgdb9nsd_000918,C4H4N2O,7,CS,0,0,1,1,1,0,1,3,0,0,0,
dsgdb9nsd_000919,C3H3N3O,7,C1,0,0,1,2,1,0,1,2,0,0,0,
dsgdb9nsd_000920,C5H5NO,7,CS,1,0,0,0,1,0,1,4,0,0,0,
dsgdb9nsd_000921,C4H4N2O,7,CS,1,0,0,1,1,0,1,3,0,0,0,
dsgdb9nsd_000922,C4H4N2O,7,CS,1,0,0,1,1,0,1,3,0,0,0,
dsgdb9nsd_000923,C4H4N2O,7,CS,1,0,0,1,1,0,1,3,0,0,0,
dsgdb9nsd_000924,C3H3N3O,7,C1,1,0,0,2,1,0,1,2,0,0,0,
